date	from	to	amount	rate	result
2022-06-12	USD	UAH	100.0	29.737125	2973.712528
2022-06-13	USD	UAH	100.0	29.539727	2953.972694
2022-06-14	USD	UAH	100.0	29.520704	2952.07038
2022-06-15	USD	UAH	100.0	29.539885	2953.988548
2022-06-16	USD	UAH	100.0	29.536421	2953.642098
2022-06-17	USD	UAH	100.0	29.505879	2950.587853
2022-06-18	USD	UAH	100.0	29.586522	2958.652193
2022-06-19	USD	UAH	100.0	29.578506	2957.850615
2022-06-20	USD	UAH	100.0	29.54405	2954.405035
2022-06-21	USD	UAH	100.0	29.53886	2953.885953
2022-06-22	USD	UAH	100.0	29.372513	2937.251258
2022-06-23	USD	UAH	100.0	29.535667	2953.566651
2022-06-24	USD	UAH	100.0	29.496083	2949.608301
2022-06-25	USD	UAH	100.0	29.509129	2950.912891
2022-06-26	USD	UAH	100.0	29.501399	2950.139907
2022-06-27	USD	UAH	100.0	29.538756	2953.875588
2022-06-28	USD	UAH	100.0	29.535148	2953.514826
2022-06-29	USD	UAH	100.0	29.506579	2950.657886
2022-06-30	USD	UAH	100.0	29.505166	2950.516643
2022-07-01	USD	UAH	100.0	29.518929	2951.892907
2022-07-02	USD	UAH	100.0	29.528108	2952.81079
2022-07-03	USD	UAH	100.0	29.517546	2951.754579
